time_s,n2o_tank_pressure_bar,n2o_tank_temperature_k,n2o_tank_liquid_mass_kg,n2o_tank_vapour_mass_kg,n2o_tank_pressurant_gas_mass_kg,n2o_tank_total_mass_kg,n2o_tank_total_internal_energy_kj,ethanol_tank_pressure_bar,ethanol_tank_temperature_k,ethanol_tank_liquid_mass_kg,ethanol_tank_vapour_mass_kg,ethanol_tank_pressurant_gas_mass_kg,ethanol_tank_total_mass_kg,ethanol_tank_total_internal_energy_kj,n2_tank_pressure_bar,n2_tank_temperature_k,n2_tank_liquid_mass_kg,n2_tank_vapour_mass_kg,n2_tank_pressurant_gas_mass_kg,n2_tank_total_mass_kg,n2_tank_total_internal_energy_kj,n2o_injector_mdot_kg_s,ethanol_injector_mdot_kg_s,ethanol_regulator_mdot_kg_s,engine_chamber_pressure_bar,engine_chamber_temperature_k,engine_thrust_n,engine_isp_s,engine_mixture_ratio,engine_total_mdot_kg_s,engine_cstar_ideal_m_s,engine_cstar_delivered_m_s,engine_cf_ideal,engine_cf_delivered
0.020000,59.957686,300.830079,64.733703,5.158533,,69.892236,16638.301650,49.999475,293.148909,16.979716,0.000000,0.208459,17.188176,-2619.131151,299.657044,293.057551,0.000000,3.022910,3.022910,3.022910,496.519946,5.388193,1.014187,0.073880,42.567827,3205.154733,15677.026010,249.690231,5.312818,6.402380,1579.666730,1579.666730,1.550126,1.550126
0.040000,59.922814,300.803555,64.605254,5.198118,,69.803372,16617.143715,49.999684,293.148253,16.967352,0.000000,0.209362,17.176714,-2617.032597,299.447626,293.001063,0.000000,3.022007,3.022007,3.022007,496.282115,4.443214,0.618224,0.045150,32.510515,3115.542384,11537.020639,232.433686,7.187059,5.061438,1526.017181,1526.017181,1.493670,1.493670
0.060000,59.881754,300.772307,64.454220,5.244491,,69.698711,16592.234508,49.999505,293.147232,16.948384,0.000000,0.210745,17.159129,-2613.813912,299.127077,292.914534,0.000000,3.020624,3.020624,3.020624,495.917925,5.233028,0.948393,0.069156,40.958850,3200.196276,15057.405334,248.394031,5.517787,6.181421,1574.278633,1574.278633,1.547345,1.547345
0.080000,59.845767,300.744905,64.321996,5.284937,,69.606932,16570.401073,49.999654,293.146501,16.934746,0.000000,0.211741,17.146487,-2611.499520,298.896527,292.852260,0.000000,3.019628,3.019628,3.019628,495.655880,4.588962,0.681873,0.049779,34.143171,3142.099156,12230.860473,236.622969,6.729932,5.270835,1538.987877,1538.987877,1.507780,1.507780
0.100000,59.805614,300.714315,64.174659,5.329838,,69.504497,16546.042499,49.999535,293.145522,16.916686,0.000000,0.213058,17.129744,-2608.434856,298.591711,292.769863,0.000000,3.018311,3.018311,3.018311,495.309284,5.121754,0.903041,0.065860,39.811995,3194.926680,14600.260255,247.114168,5.671675,6.024795,1569.970605,1569.970605,1.543588,1.543588
0.120000,59.768904,300.686333,64.040111,5.370688,,69.410799,16523.771565,49.999624,293.144738,16.902209,0.000000,0.214115,17.116324,-2605.978226,298.347384,292.703774,0.000000,3.017254,3.017254,3.017254,495.031357,4.684896,0.723834,0.052832,35.206864,3156.443542,12681.860571,239.093067,6.472337,5.408730,1546.479060,1546.479060,1.516144,1.516144
0.140000,59.729398,300.656204,63.895500,5.414431,,69.309931,16499.806205,49.999535,293.143786,16.884764,0.000000,0.215387,17.100152,-2603.018256,298.053370,292.624186,0.000000,3.015982,3.015982,3.015982,494.696774,5.043400,0.872226,0.063622,39.011350,3190.475449,14273.650486,246.044508,5.782217,5.915626,1566.782035,1566.782035,1.540029,1.540029
0.160000,59.692227,300.627840,63.759595,5.455387,,69.214982,16477.257117,49.999609,293.142965,16.869730,0.000000,0.216485,17.086214,-2600.467091,297.800031,292.555563,0.000000,3.014885,3.014885,3.014885,494.408360,4.747444,0.751740,0.054863,35.902160,3164.796496,12976.174996,240.617814,6.315275,5.499184,1551.084027,1551.084027,1.521286,1.521286
0.180000,59.653183,300.598031,63.617019,5.498194,,69.115212,16453.572927,49.999565,293.142030,16.852700,0.000000,0.217727,17.070427,-2597.577635,297.513413,292.477869,0.000000,3.013642,3.013642,3.013642,494.081926,4.988494,0.851481,0.062115,38.457486,3187.096991,14045.479026,245.247662,5.858607,5.839975,1564.541835,1564.541835,1.537235,1.537235
0.200000,59.615726,300.569419,63.480395,5.539060,,69.019455,16430.851205,49.999594,293.141181,16.837291,0.000000,0.218851,17.056142,-2594.963108,297.254172,292.407547,0.000000,3.012518,3.012518,3.012518,493.786553,4.787857,0.770455,0.056225,36.357417,3169.931738,13168.720199,241.590577,6.214328,5.558312,1554.045784,1554.045784,1.524528,1.524528
0.220000,59.577016,300.539833,63.339371,5.581086,,68.920458,16407.370418,49.999565,293.140254,16.820539,0.000000,0.220074,17.040612,-2592.120818,296.972622,292.331120,0.000000,3.011296,3.011296,3.011296,493.465628,4.949871,0.837620,0.061109,38.075177,3184.693819,13887.436873,244.687092,5.909447,5.787491,1563.033135,1563.033135,1.535200,1.535200
0.240000,59.539388,300.511059,63.202447,5.621739,,68.824186,16384.545926,49.999594,293.139385,16.804876,0.000000,0.221216,17.026093,-2589.463484,296.709526,292.259651,0.000000,3.010153,3.010153,3.010153,493.165619,4.813597,0.783111,0.057147,36.655084,3173.224634,13294.642377,242.227430,6.146760,5.596708,1556.022038,1556.022038,1.526607,1.526607
