time_s,n2o_tank_pressure_bar,n2o_tank_temperature_k,n2o_tank_liquid_mass_kg,n2o_tank_vapour_mass_kg,n2o_tank_pressurant_gas_mass_kg,n2o_tank_total_mass_kg,n2o_tank_total_internal_energy_kj,ethanol_tank_pressure_bar,ethanol_tank_temperature_k,ethanol_tank_liquid_mass_kg,ethanol_tank_vapour_mass_kg,ethanol_tank_pressurant_gas_mass_kg,ethanol_tank_total_mass_kg,ethanol_tank_total_internal_energy_kj,n2_tank_pressure_bar,n2_tank_temperature_k,n2_tank_liquid_mass_kg,n2_tank_vapour_mass_kg,n2_tank_pressurant_gas_mass_kg,n2_tank_total_mass_kg,n2_tank_total_internal_energy_kj,n2o_injector_mdot_kg_s,ethanol_injector_mdot_kg_s,ethanol_regulator_mdot_kg_s,engine_chamber_pressure_bar,engine_chamber_temperature_k,engine_thrust_n,engine_isp_s,engine_mixture_ratio,engine_total_mdot_kg_s,engine_cstar_ideal_m_s,engine_cstar_delivered_m_s,engine_cf_ideal,engine_cf_delivered
0.020000,59.898660,300.785175,5.633057,0.196219,,5.829276,1360.464806,49.999475,293.148555,2.995239,0.000000,0.070882,3.066121,-454.966903,299.195344,292.932899,0.000000,0.302092,0.302092,0.302092,49.599542,1.036191,0.238052,0.017341,41.228378,3149.559166,3071.625059,245.807538,4.352787,1.274243,1588.244483,1588.244483,1.517756,1.517756
0.040000,59.812914,300.719878,5.606726,0.204990,,5.811716,1356.286631,49.999654,293.147604,2.992086,0.000000,0.071112,3.063198,-454.431774,298.661844,292.788733,0.000000,0.301862,0.301862,0.301862,49.538894,0.878005,0.157647,0.011520,33.128544,3180.455905,2453.930243,241.617155,5.569451,1.035652,1570.188633,1570.188633,1.509003,1.509003
0.060000,59.715566,300.645651,5.576934,0.214831,,5.791765,1351.544071,49.999535,293.146264,2.987713,0.000000,0.071431,3.059144,-453.689790,297.924367,292.589094,0.000000,0.301543,0.301543,0.301543,49.454976,0.997560,0.218640,0.015951,39.368854,3169.856881,2929.795540,245.647138,4.562566,1.216200,1588.988106,1588.988106,1.516054,1.516054
0.080000,59.627170,300.578162,5.549959,0.223666,,5.773625,1347.236872,49.999594,293.145196,2.984242,0.000000,0.071685,3.055927,-453.100777,297.339391,292.430483,0.000000,0.301289,0.301289,0.301289,49.388346,0.906970,0.173556,0.012677,34.756833,3186.940746,2581.277417,243.601003,5.225814,1.080525,1578.961548,1578.961548,1.512950,1.512950
0.100000,59.532291,300.505630,5.521098,0.233041,,5.754139,1342.614314,49.999594,293.143904,2.980086,0.000000,0.071988,3.052074,-452.395591,296.640744,292.240722,0.000000,0.300986,0.300986,0.300986,49.308690,0.974335,0.207821,0.015166,38.249403,3177.508901,2844.410385,245.355966,4.688328,1.182156,1588.259751,1588.259751,1.514948,1.514948
0.120000,59.442576,300.436956,5.493887,0.241805,,5.735691,1338.242943,49.999594,293.142762,2.976436,0.000000,0.072254,3.048691,-451.776439,296.028058,292.074034,0.000000,0.300719,0.300719,0.300719,49.238768,0.922365,0.182466,0.013325,35.622335,3186.969439,2645.980624,244.213929,5.055002,1.104830,1582.686111,1582.686111,1.513193,1.513193
0.140000,59.349264,300.365439,5.465670,0.250817,,5.716487,1333.696668,49.999594,293.141486,2.972400,0.000000,0.072549,3.044949,-451.091655,295.351850,291.889746,0.000000,0.300425,0.300425,0.300425,49.161521,0.960228,0.201835,0.014732,37.582006,3180.384648,2793.044740,245.090945,4.757485,1.162064,1587.526833,1587.526833,1.514008,1.514008
0.160000,59.258964,300.296139,5.438442,0.259440,,5.697882,1329.296896,49.999594,293.140292,2.968648,0.000000,0.072823,3.041471,-450.455270,294.724313,291.718437,0.000000,0.300151,0.300151,0.300151,49.089763,0.930250,0.187576,0.013697,36.082129,3185.655543,2679.468613,244.429476,4.959317,1.117827,1584.479328,1584.479328,1.512818,1.512818
0.180000,59.166699,300.225241,5.410701,0.268153,,5.678854,1324.801589,49.999594,293.139016,2.964676,0.000000,0.073113,3.037789,-449.781617,294.061320,291.537141,0.000000,0.299861,0.299861,0.299861,49.013877,0.951404,0.198582,0.014496,37.180864,3181.317887,2761.647135,244.880895,4.790991,1.149986,1587.074971,1587.074971,1.513139,1.513139
0.200000,59.076221,300.155627,5.383573,0.276602,,5.660175,1320.393316,49.999594,293.137783,2.960865,0.000000,0.073391,3.034256,-449.135126,293.426039,291.363128,0.000000,0.299582,0.299582,0.299582,48.941091,0.933941,0.190582,0.013916,36.320342,3184.219633,2696.170921,244.488422,4.900462,1.124523,1585.443591,1585.443591,1.512264,1.512264
