time_s,n2o_tank_pressure_bar,n2o_tank_temperature_k,n2o_tank_liquid_mass_kg,n2o_tank_vapour_mass_kg,n2o_tank_pressurant_gas_mass_kg,n2o_tank_total_mass_kg,n2o_tank_total_internal_energy_kj,ethanol_tank_pressure_bar,ethanol_tank_temperature_k,ethanol_tank_liquid_mass_kg,ethanol_tank_vapour_mass_kg,ethanol_tank_pressurant_gas_mass_kg,ethanol_tank_total_mass_kg,ethanol_tank_total_internal_energy_kj,n2_tank_pressure_bar,n2_tank_temperature_k,n2_tank_liquid_mass_kg,n2_tank_vapour_mass_kg,n2_tank_pressurant_gas_mass_kg,n2_tank_total_mass_kg,n2_tank_total_internal_energy_kj,n2o_injector_mdot_kg_s,ethanol_injector_mdot_kg_s,ethanol_regulator_mdot_kg_s,engine_chamber_pressure_bar,engine_chamber_temperature_k,engine_thrust_n,engine_isp_s,engine_mixture_ratio,engine_total_mdot_kg_s,engine_cstar_ideal_m_s,engine_cstar_delivered_m_s,engine_cf_ideal,engine_cf_delivered
0.020000,59.932146,300.810654,4.085623,0.900827,,4.986450,1247.035207,49.999356,293.147616,0.997465,0.000000,0.054531,1.051995,-145.119055,349.353295,293.003453,0.000000,0.252765,0.252765,0.252765,40.019534,0.677509,0.126773,0.009235,30.516088,3175.389676,1885.227733,239.020050,5.344255,0.804283,1574.594242,1574.594242,1.488630,1.488630
0.040000,59.864755,300.759365,4.068001,0.904982,,4.972983,1243.829813,49.999356,293.145270,0.994962,0.000000,0.054714,1.049676,-144.694512,348.713628,292.858295,0.000000,0.252582,0.252582,0.252582,39.971597,0.673332,0.125125,0.009149,30.278358,3174.510446,1869.189599,238.715733,5.381268,0.798457,1573.620777,1573.620777,1.487555,1.487555
0.060000,59.797273,300.707959,4.050387,0.909103,,4.959490,1240.620536,49.999356,293.142890,0.992444,0.000000,0.054898,1.047342,-144.267407,348.071120,292.712286,0.000000,0.252398,0.252398,0.252398,39.923406,0.674655,0.125886,0.009204,30.365414,3174.884155,1874.884593,238.819610,5.359239,0.800542,1574.178376,1574.178376,1.487809,1.487809
0.080000,59.729939,300.656617,4.032844,0.913174,,4.946018,1237.418717,49.999356,293.140497,0.989932,0.000000,0.055081,1.045014,-143.841263,347.430994,292.566612,0.000000,0.252214,0.252214,0.252214,39.875353,0.673595,0.125608,0.009184,30.313828,3174.715490,1871.301447,238.762441,5.362657,0.799203,1574.075545,1574.075545,1.487493,1.487493
0.100000,59.662652,300.605262,4.015343,0.917204,,4.932547,1234.219515,49.999356,293.138079,0.987417,0.000000,0.055265,1.042682,-143.414578,346.791015,292.420765,0.000000,0.252030,0.252030,0.252030,39.827271,0.673550,0.125773,0.009197,30.321308,3174.771285,1871.665780,238.772877,5.355266,0.799324,1574.252178,1574.252178,1.487415,1.487415
0.120000,59.595455,300.553928,3.997897,0.921189,,4.919086,1231.024991,49.999356,293.135638,0.984902,0.000000,0.055449,1.040351,-142.988002,346.152130,292.274960,0.000000,0.251846,0.251846,0.251846,39.779230,0.673070,0.125750,0.009195,30.303522,3174.730467,1870.340089,238.754257,5.352459,0.798820,1574.310060,1574.310060,1.487234,1.487234
0.140000,59.528329,300.502599,3.980499,0.925132,,4.905630,1227.834258,49.999356,293.133177,0.982386,0.000000,0.055633,1.038019,-142.561245,345.513932,292.129106,0.000000,0.251662,0.251662,0.251662,39.731200,0.672775,0.125807,0.009200,30.296481,3174.728615,1869.731001,238.747687,5.347689,0.798582,1574.418371,1574.418371,1.487095,1.487095
0.160000,59.461282,300.451282,3.963151,0.929032,,4.892182,1224.647690,49.999356,293.130698,0.979869,0.000000,0.055817,1.035686,-142.134425,344.876597,291.983242,0.000000,0.251478,0.251478,0.251478,39.683194,0.672399,0.125829,0.009202,30.284799,3174.708625,1868.810781,238.735711,5.343741,0.798229,1574.505252,1574.505252,1.486937,1.486937
0.180000,59.394310,300.399975,3.945851,0.932890,,4.878741,1221.465122,49.999356,293.128199,0.977352,0.000000,0.056001,1.033353,-141.707491,344.240049,291.837350,0.000000,0.251294,0.251294,0.251294,39.635207,0.672057,0.125867,0.009205,30.275055,3174.694569,1868.018722,238.725752,5.339430,0.797924,1574.601234,1574.601234,1.486785,1.486785
0.200000,59.327414,300.348678,3.928600,0.936707,,4.865307,1218.286620,49.999356,293.125677,0.974834,0.000000,0.056186,1.031019,-141.280475,343.604319,291.691439,0.000000,0.251110,0.251110,0.251110,39.587241,0.671699,0.125898,0.009208,30.264436,3174.676278,1867.166999,238.714654,5.335260,0.797597,1574.693344,1574.693344,1.486629,1.486629
